station_id,date,element,value,mflag,qflag,sflag,obstime,unit
ASN00022021,01-01-1901,PRCP,0,,,a,,mm
ASN00022022,01-01-1901,PRCP,0,,,a,,mm
ASN00022023,01-01-1901,PRCP,0,,,a,,mm
ASN00022027,01-01-1901,PRCP,0,,,a,,mm
ASN00021031,01-01-1901,PRCP,0,,,a,,mm
ASN00021033,01-01-1901,PRCP,3,,,a,,mm
ASN00021034,01-01-1901,PRCP,0,,,a,,mm
ASN00021035,01-01-1901,PRCP,0,,,a,,mm
ASN00021036,01-01-1901,PRCP,0,,,a,,mm
ASN00021037,01-01-1901,PRCP,0,,,a,,mm
ASN00021038,01-01-1901,PRCP,0,,,a,,mm
ASN00021039,01-01-1901,PRCP,0,,,a,,mm
ASN00021040,01-01-1901,PRCP,0,,,a,,mm
ASN00021041,01-01-1901,PRCP,0,,,a,,mm
ASN00021042,01-01-1901,PRCP,0,,,a,,mm
ASN00021043,01-01-1901,PRCP,0,,,a,,mm
ASN00021044,01-01-1901,PRCP,0,,,a,,mm
ASN00021045,01-01-1901,PRCP,0,,,a,,mm
ASN00021046,01-01-1901,PRCP,0,,,a,,mm
ASN00021048,01-01-1901,PRCP,0,,,a,,mm
ASN00021050,01-01-1901,PRCP,0,,,a,,mm
ASN00021051,01-01-1901,PRCP,0,,,a,,mm
ASN00021053,01-01-1901,PRCP,0,,,a,,mm
ASN00021054,01-01-1901,PRCP,0,,,a,,mm
ASN00021055,01-01-1901,PRCP,0,,,a,,mm
ASN00021056,01-01-1901,PRCP,0,,,a,,mm
ASN00021057,01-01-1901,PRCP,0,,,a,,mm
ASN00021058,01-01-1901,PRCP,0,,,a,,mm
ASN00021062,01-01-1901,PRCP,0,,,a,,mm
ASN00021078,01-01-1901,PRCP,0,,,a,,mm
ASN00021080,01-01-1901,PRCP,0,,,a,,mm
ASN00021081,01-01-1901,PRCP,0,,,a,,mm
ASN00021084,01-01-1901,PRCP,0,,,a,,mm
ASN00021086,01-01-1901,PRCP,0,,,a,,mm
ASN00021088,01-01-1901,PRCP,0,,,a,,mm
ASN00021089,01-01-1901,PRCP,0,,,a,,mm
ASN00021091,01-01-1901,PRCP,0,,,a,,mm
ASN00021095,01-01-1901,PRCP,0,,,a,,mm
ASN00020029,01-01-1901,PRCP,0,,,a,,mm
ASN00020048,01-01-1901,PRCP,0,,,a,,mm
ASN00021000,01-01-1901,PRCP,0,,,a,,mm
ASN00021001,01-01-1901,PRCP,0,,,a,,mm
ASN00021002,01-01-1901,PRCP,0,,,a,,mm
ASN00021003,01-01-1901,PRCP,0,,,a,,mm
ASN00021007,01-01-1901,PRCP,0,,,a,,mm
ASN00021008,01-01-1901,PRCP,0,,,a,,mm
ASN00021009,01-01-1901,PRCP,0,,,a,,mm
ASN00021010,01-01-1901,PRCP,0,,,a,,mm
ASN00021011,01-01-1901,PRCP,0,,,a,,mm
ASN00021012,01-01-1901,PRCP,0,,,a,,mm
ASN00021013,01-01-1901,PRCP,0,,,a,,mm
ASN00021014,01-01-1901,PRCP,0,,,a,,mm
ASN00021016,01-01-1901,PRCP,0,,,a,,mm
ASN00021017,01-01-1901,PRCP,0,,,a,,mm
ASN00021019,01-01-1901,PRCP,0,,,a,,mm
ASN00021020,01-01-1901,PRCP,0,,,a,,mm
ASN00021023,01-01-1901,PRCP,0,,,a,,mm
ASN00021024,01-01-1901,PRCP,0,,,a,,mm
ASN00021025,01-01-1901,PRCP,0,,,a,,mm
ASN00021026,01-01-1901,PRCP,0,,,a,,mm
ASN00021027,01-01-1901,PRCP,0,,,a,,mm
ASN00021028,01-01-1901,PRCP,0,,,a,,mm
ASN00021029,01-01-1901,PRCP,0,,,a,,mm
ASN00019082,01-01-1901,PRCP,0,,,a,,mm
ASN00019085,01-01-1901,PRCP,0,,,a,,mm
ASN00019086,01-01-1901,PRCP,0,,,a,,mm
ASN00019087,01-01-1901,PRCP,0,,,a,,mm
ASN00019089,01-01-1901,PRCP,0,,,a,,mm
ASN00019090,01-01-1901,PRCP,0,,,a,,mm
ASN00019091,01-01-1901,PRCP,0,,,a,,mm
ASN00019096,01-01-1901,PRCP,0,,,a,,mm
ASN00019113,01-01-1901,PRCP,0,,,a,,mm
ASN00020000,01-01-1901,PRCP,0,,,a,,mm
ASN00020001,01-01-1901,PRCP,0,,,a,,mm
ASN00020002,01-01-1901,PRCP,0,,,a,,mm
ASN00020004,01-01-1901,PRCP,0,,,a,,mm
ASN00020006,01-01-1901,PRCP,0,,,a,,mm
ASN00020008,01-01-1901,PRCP,0,,,a,,mm
ASN00020010,01-01-1901,PRCP,0,,,a,,mm
ASN00020012,01-01-1901,PRCP,0,,,a,,mm
ASN00020013,01-01-1901,PRCP,0,,,a,,mm
ASN00020016,01-01-1901,PRCP,0,,,a,,mm
ASN00020017,01-01-1901,PRCP,0,,,a,,mm
ASN00020021,01-01-1901,PRCP,0,,,a,,mm
ASN00020023,01-01-1901,PRCP,0,,,a,,mm
ASN00020024,01-01-1901,PRCP,0,,,a,,mm
ASN00020026,01-01-1901,PRCP,0,,,a,,mm
ASN00019018,01-01-1901,PRCP,0,,,a,,mm
ASN00019020,01-01-1901,PRCP,0,,,a,,mm
ASN00019021,01-01-1901,PRCP,0,,,a,,mm
ASN00019024,01-01-1901,PRCP,0,,,a,,mm
ASN00019026,01-01-1901,PRCP,0,,,a,,mm
ASN00019029,01-01-1901,PRCP,0,,,a,,mm
ASN00019030,01-01-1901,PRCP,0,,,a,,mm
ASN00019032,01-01-1901,PRCP,0,,,a,,mm
ASN00019034,01-01-1901,PRCP,0,,,a,,mm
ASN00019036,01-01-1901,PRCP,0,,,a,,mm
ASN00019037,01-01-1901,PRCP,0,,,a,,mm
ASN00019038,01-01-1901,PRCP,0,,,a,,mm
ASN00019040,01-01-1901,PRCP,0,,,a,,mm
ASN00019041,01-01-1901,PRCP,0,,,a,,mm
ASN00019042,01-01-1901,PRCP,0,,,a,,mm
ASN00019044,01-01-1901,PRCP,0,,,a,,mm
ASN00019046,01-01-1901,PRCP,0,,,a,,mm
ASN00019047,01-01-1901,PRCP,0,,,a,,mm
ASN00019048,01-01-1901,PRCP,0,,,a,,mm
ASN00019050,01-01-1901,PRCP,0,,,a,,mm
ASN00019052,01-01-1901,PRCP,0,,,a,,mm
ASN00019053,01-01-1901,PRCP,0,,,a,,mm
ASN00019056,01-01-1901,PRCP,0,,,a,,mm
ASN00019058,01-01-1901,PRCP,0,,,a,,mm
ASN00019059,01-01-1901,PRCP,0,,,a,,mm
ASN00019060,01-01-1901,PRCP,0,,,a,,mm
ASN00019072,01-01-1901,PRCP,0,,,a,,mm
ASN00019073,01-01-1901,PRCP,0,,,a,,mm
ASN00019074,01-01-1901,PRCP,0,,,a,,mm
ASN00019075,01-01-1901,PRCP,0,,,a,,mm
ASN00019079,01-01-1901,PRCP,0,,,a,,mm
ASN00019080,01-01-1901,PRCP,0,,,a,,mm
ASN00019001,01-01-1901,PRCP,0,,,a,,mm
ASN00019002,01-01-1901,PRCP,0,,,a,,mm
ASN00019003,01-01-1901,PRCP,0,,,a,,mm
ASN00019004,01-01-1901,PRCP,0,,,a,,mm
ASN00019005,01-01-1901,PRCP,0,,,a,,mm
ASN00019006,01-01-1901,PRCP,0,,,a,,mm
ASN00019007,01-01-1901,PRCP,0,,,a,,mm
ASN00019008,01-01-1901,PRCP,0,,,a,,mm
ASN00019009,01-01-1901,PRCP,0,,,a,,mm
ASN00019010,01-01-1901,PRCP,0,,,a,,mm
ASN00019011,01-01-1901,PRCP,0,,,a,,mm
ASN00019013,01-01-1901,PRCP,0,,,a,,mm
ASN00019015,01-01-1901,PRCP,0,,,a,,mm
ASN00019016,01-01-1901,PRCP,0,,,a,,mm
ASN00019017,01-01-1901,PRCP,0,,,a,,mm
ASN00018105,01-01-1901,PRCP,0,,,a,,mm
ASN00018106,01-01-1901,PRCP,0,,,a,,mm
ASN00018107,01-01-1901,PRCP,3,,,a,,mm
ASN00018126,01-01-1901,PRCP,0,,,a,,mm
ASN00018133,01-01-1901,PRCP,0,,,a,,mm
ASN00018136,01-01-1901,PRCP,0,,,a,,mm
ASN00018142,01-01-1901,PRCP,0,,,a,,mm
ASN00018151,01-01-1901,PRCP,0,,,a,,mm
ASN00018155,01-01-1901,PRCP,0,,,a,,mm
ASN00018158,01-01-1901,PRCP,0,,,a,,mm
ASN00018159,01-01-1901,PRCP,0,,,a,,mm
ASN00018045,01-01-1901,PRCP,0,,,a,,mm
ASN00018050,01-01-1901,PRCP,0,,,a,,mm
ASN00018056,01-01-1901,PRCP,0,,,a,,mm
ASN00018063,01-01-1901,PRCP,0,,,a,,mm
ASN00018066,01-01-1901,PRCP,0,,,a,,mm
ASN00018069,01-01-1901,PRCP,5,,,a,,mm
ASN00018070,01-01-1901,TMAX,228,,,a,,tenths of °C
ASN00018070,01-01-1901,TMIN,150,,,a,,tenths of °C
ASN00018074,01-01-1901,PRCP,0,,,a,,mm
ASN00018078,01-01-1901,PRCP,0,,,a,,mm
ASN00018079,01-01-1901,PRCP,0,,,a,,mm
ASN00018087,01-01-1901,PRCP,0,,,a,,mm
ASN00018091,01-01-1901,PRCP,0,,,a,,mm
ASN00018097,01-01-1901,PRCP,0,,,a,,mm
ASN00018002,01-01-1901,PRCP,0,,,a,,mm
ASN00018003,01-01-1901,PRCP,0,,,a,,mm
ASN00018009,01-01-1901,PRCP,0,,,a,,mm
ASN00018014,01-01-1901,PRCP,0,,,a,,mm
ASN00018016,01-01-1901,PRCP,3,,,a,,mm
ASN00018017,01-01-1901,PRCP,0,,,a,,mm
ASN00018019,01-01-1901,PRCP,0,,,a,,mm
ASN00018022,01-01-1901,PRCP,0,,,a,,mm
ASN00017039,01-01-1901,PRCP,0,,,a,,mm
ASN00017040,01-01-1901,PRCP,0,,,a,,mm
ASN00017044,01-01-1901,PRCP,0,,,a,,mm
ASN00017050,01-01-1901,PRCP,0,,,a,,mm
ASN00017053,01-01-1901,PRCP,0,,,a,,mm
ASN00017054,01-01-1901,PRCP,0,,,a,,mm
ASN00017055,01-01-1901,PRCP,0,,,a,,mm
ASN00017056,01-01-1901,PRCP,36,,,a,,mm
ASN00017060,01-01-1901,PRCP,0,,,a,,mm
ASN00017061,01-01-1901,PRCP,0,,,a,,mm
ASN00017066,01-01-1901,PRCP,0,,,a,,mm
ASN00017067,01-01-1901,PRCP,0,,,a,,mm
ASN00017068,01-01-1901,PRCP,0,,,a,,mm
ASN00017073,01-01-1901,PRCP,0,,,a,,mm
ASN00017078,01-01-1901,PRCP,0,,,a,,mm
ASN00017087,01-01-1901,PRCP,0,,,a,,mm
ASN00017088,01-01-1901,PRCP,0,,,a,,mm
ASN00017090,01-01-1901,PRCP,0,,,a,,mm
ASN00017091,01-01-1901,PRCP,0,,,a,,mm
ASN00017094,01-01-1901,PRCP,0,,,a,,mm
ASN00017105,01-01-1901,PRCP,0,,,a,,mm
ASN00017004,01-01-1901,PRCP,0,,,a,,mm
ASN00017008,01-01-1901,PRCP,0,,,a,,mm
ASN00017011,01-01-1901,PRCP,0,,,a,,mm
ASN00017012,01-01-1901,PRCP,0,,,a,,mm
ASN00017014,01-01-1901,PRCP,8,,,a,,mm
ASN00017018,01-01-1901,PRCP,0,,,a,,mm
ASN00017019,01-01-1901,PRCP,0,,,a,,mm
ASN00017020,01-01-1901,PRCP,0,,,a,,mm
ASN00017021,01-01-1901,PRCP,0,,,a,,mm
ASN00017024,01-01-1901,PRCP,0,,,a,,mm
ASN00017027,01-01-1901,PRCP,0,,,a,,mm
ASN00017028,01-01-1901,PRCP,0,,,a,,mm
ASN00017031,01-01-1901,PRCP,0,,,a,,mm
ASN00017034,01-01-1901,PRCP,0,,,a,,mm
ASN00017037,01-01-1901,PRCP,0,,,a,,mm
ASN00016005,01-01-1901,PRCP,0,,,a,,mm
ASN00016009,01-01-1901,PRCP,0,,,a,,mm
ASN00016029,01-01-1901,PRCP,0,,,a,,mm
ASN00016033,01-01-1901,PRCP,0,,,a,,mm
ASN00016038,01-01-1901,PRCP,0,,,a,,mm
ASN00016043,01-01-1901,PRCP,0,,,a,,mm
ASN00016046,01-01-1901,PRCP,0,,,a,,mm
ASN00016056,01-01-1901,PRCP,0,,,a,,mm
ASN00016061,01-01-1901,PRCP,0,,,a,,mm
ASN00016062,01-01-1901,PRCP,0,,,a,,mm
ASN00016063,01-01-1901,PRCP,0,,,a,,mm
ASN00016070,01-01-1901,PRCP,0,,,a,,mm
ASN00015623,01-01-1901,PRCP,0,,,a,,mm
ASN00015630,01-01-1901,PRCP,0,,,a,,mm
ASN00016000,01-01-1901,PRCP,0,,,a,,mm
ASN00016002,01-01-1901,PRCP,0,,,a,,mm
ASN00015552,01-01-1901,PRCP,0,,,a,,mm
ASN00015557,01-01-1901,PRCP,0,,,a,,mm
ASN00015564,01-01-1901,PRCP,0,,,a,,mm
ASN00015594,01-01-1901,PRCP,0,,,a,,mm
ASN00015597,01-01-1901,PRCP,0,,,a,,mm
ASN00015524,01-01-1901,PRCP,0,,,a,,mm
ASN00015525,01-01-1901,PRCP,0,,,a,,mm
ASN00015531,01-01-1901,PRCP,0,,,a,,mm
ASN00015540,01-01-1901,TMAX,350,,,a,,tenths of °C
ASN00015540,01-01-1901,TMIN,211,,,a,,tenths of °C
ASN00015540,01-01-1901,PRCP,0,,,a,,mm
ASN00015019,01-01-1901,PRCP,107,,,a,,mm
ASN00015083,01-01-1901,PRCP,74,,,a,,mm
ASN00015085,01-01-1901,PRCP,66,,,a,,mm
ASN00015087,01-01-1901,PRCP,51,,,a,,mm
ASN00015088,01-01-1901,PRCP,109,,,a,,mm
ASN00014902,01-01-1901,PRCP,218,,,a,,mm
ASN00014912,01-01-1901,PRCP,0,,,a,,mm
ASN00014933,01-01-1901,PRCP,0,,,a,,mm
ASN00014710,01-01-1901,PRCP,124,,,a,,mm
ASN00014817,01-01-1901,PRCP,79,,,a,,mm
ASN00014825,01-01-1901,PRCP,0,,,a,,mm
ASN00014614,01-01-1901,PRCP,23,,,a,,mm
ASN00014620,01-01-1901,PRCP,15,,,a,,mm
ASN00014123,01-01-1901,PRCP,91,,,a,,mm
ASN00014005,01-01-1901,PRCP,371,,,a,,mm
ASN00014007,01-01-1901,PRCP,13,,,a,,mm
ASN00014016,01-01-1901,TMAX,319,,,a,,tenths of °C
ASN00014016,01-01-1901,TMIN,250,,,a,,tenths of °C
ASN00014016,01-01-1901,PRCP,20,,,a,,mm
ASN00012125,01-01-1901,PRCP,0,,,a,,mm
ASN00012127,01-01-1901,PRCP,0,,,a,,mm
ASN00012145,01-01-1901,PRCP,0,,,a,,mm
ASN00012151,01-01-1901,PRCP,0,,,a,,mm
ASN00012162,01-01-1901,PRCP,0,,,a,,mm
ASN00012164,01-01-1901,PRCP,0,,,a,,mm
ASN00012173,01-01-1901,PRCP,0,,,a,,mm
ASN00012185,01-01-1901,PRCP,0,,,a,,mm
ASN00012059,01-01-1901,PRCP,0,,,a,,mm
ASN00012061,01-01-1901,PRCP,0,,,a,,mm
ASN00012074,01-01-1901,PRCP,0,,,a,,mm
ASN00012109,01-01-1901,PRCP,0,,,a,,mm
ASN00012006,01-01-1901,PRCP,0,,,a,,mm
ASN00012027,01-01-1901,PRCP,0,,,a,,mm
ASN00012035,01-01-1901,PRCP,0,,,a,,mm
ASN00012040,01-01-1901,PRCP,0,,,a,,mm
ASN00012052,01-01-1901,PRCP,0,,,a,,mm
ASN00011017,01-01-1901,PRCP,0,,,a,,mm
ASN00011019,01-01-1901,PRCP,0,,,a,,mm
ASN00010780,01-01-1901,PRCP,0,,,a,,mm
ASN00010786,01-01-1901,PRCP,0,,,a,,mm
ASN00010716,01-01-1901,PRCP,0,,,a,,mm
ASN00010515,01-01-1901,PRCP,0,,,a,,mm
ASN00010234,01-01-1901,PRCP,0,,,a,,mm
ASN00010180,01-01-1901,PRCP,0,,,a,,mm
ASN00010213,01-01-1901,PRCP,0,,,a,,mm
ASN00010111,01-01-1901,PRCP,0,,,a,,mm
ASN00010120,01-01-1901,PRCP,0,,,a,,mm
ASN00010125,01-01-1901,PRCP,0,,,a,,mm
ASN00010150,01-01-1901,PRCP,0,,,a,,mm
ASN00010073,01-01-1901,PRCP,0,,,a,,mm
ASN00010019,01-01-1901,PRCP,0,,,a,,mm
ASN00010030,01-01-1901,PRCP,0,,,a,,mm
ASN00009034,01-01-1901,TMAX,317,,,a,,tenths of °C
ASN00009034,01-01-1901,TMIN,172,,,a,,tenths of °C
ASN00009034,01-01-1901,PRCP,0,,,a,,mm
ASN00009038,01-01-1901,PRCP,0,,,a,,mm
ASN00008166,01-01-1901,PRCP,0,,,a,,mm
ASN00008182,01-01-1901,PRCP,0,,,a,,mm
ASN00008086,01-01-1901,PRCP,0,,,a,,mm
ASN00008088,01-01-1901,PRCP,0,,,a,,mm
ASN00008094,01-01-1901,PRCP,0,,,a,,mm
ASN00008099,01-01-1901,PRCP,0,,,a,,mm
ASN00008100,01-01-1901,PRCP,0,,,a,,mm
ASN00008103,01-01-1901,PRCP,0,,,a,,mm
ASN00008116,01-01-1901,PRCP,0,,,a,,mm
ASN00008025,01-01-1901,PRCP,0,,,a,,mm
ASN00008029,01-01-1901,PRCP,0,,,a,,mm
ASN00008050,01-01-1901,PRCP,0,,,a,,mm
ASN00008058,01-01-1901,PRCP,0,,,a,,mm
ASN00007195,01-01-1901,PRCP,0,,,a,,mm
ASN00007197,01-01-1901,PRCP,0,,,a,,mm
ASN00007202,01-01-1901,PRCP,0,,,a,,mm
ASN00007084,01-01-1901,PRCP,0,,,a,,mm
ASN00007091,01-01-1901,PRCP,0,,,a,,mm
ASN00007095,01-01-1901,PRCP,0,,,a,,mm
ASN00007096,01-01-1901,PRCP,0,,,a,,mm
ASN00007110,01-01-1901,PRCP,0,,,a,,mm
ASN00007111,01-01-1901,PRCP,0,,,a,,mm
ASN00007113,01-01-1901,PRCP,0,,,a,,mm
ASN00007118,01-01-1901,PRCP,0,,,a,,mm
ASN00007125,01-01-1901,PRCP,0,,,a,,mm
ASN00007141,01-01-1901,PRCP,0,,,a,,mm
ASN00007020,01-01-1901,PRCP,0,,,a,,mm
ASN00007022,01-01-1901,PRCP,0,,,a,,mm
ASN00007027,01-01-1901,PRCP,0,,,a,,mm
ASN00007039,01-01-1901,PRCP,0,,,a,,mm
ASN00007043,01-01-1901,PRCP,0,,,a,,mm
ASN00007048,01-01-1901,PRCP,0,,,a,,mm
ASN00007049,01-01-1901,PRCP,0,,,a,,mm
ASN00007055,01-01-1901,PRCP,0,,,a,,mm
ASN00007064,01-01-1901,PRCP,0,,,a,,mm
ASN00007066,01-01-1901,PRCP,0,,,a,,mm
ASN00007070,01-01-1901,PRCP,0,,,a,,mm
ASN00007082,01-01-1901,PRCP,0,,,a,,mm
ASN00022028,01-01-1901,PRCP,0,,,a,,mm
ASN00022801,01-01-1901,PRCP,10,,,a,,mm
ASN00022807,01-01-1901,PRCP,0,,,a,,mm
ASN00022810,01-01-1901,PRCP,10,,,a,,mm
ASN00022813,01-01-1901,PRCP,41,,,a,,mm
ASN00023000,01-01-1901,TMAX,250,,,a,,tenths of °C
ASN00023000,01-01-1901,TMIN,163,,,a,,tenths of °C
ASN00023000,01-01-1901,PRCP,3,,,a,,mm
ASN00023001,01-01-1901,PRCP,0,,,a,,mm
ASN00023002,01-01-1901,PRCP,0,,,a,,mm
ASN00023004,01-01-1901,PRCP,0,,,a,,mm
ASN00023005,01-01-1901,PRCP,0,,,a,,mm
ASN00023008,01-01-1901,PRCP,0,,,a,,mm
ASN00023009,01-01-1901,PRCP,0,,,a,,mm
ASN00023010,01-01-1901,PRCP,10,,,a,,mm
ASN00023011,01-01-1901,PRCP,0,,,a,,mm
ASN00023019,01-01-1901,PRCP,0,,,a,,mm
ASN00023020,01-01-1901,PRCP,0,,,a,,mm
ASN00023021,01-01-1901,PRCP,0,,,a,,mm
ASN00023023,01-01-1901,PRCP,0,,,a,,mm
ASN00023027,01-01-1901,PRCP,0,,,a,,mm
ASN00023028,01-01-1901,PRCP,0,,,a,,mm
ASN00023030,01-01-1901,PRCP,0,,,a,,mm
ASN00023042,01-01-1901,PRCP,81,,,a,,mm
ASN00023045,01-01-1901,PRCP,3,,,a,,mm
ASN00023050,01-01-1901,PRCP,0,,,a,,mm
ASN00023059,01-01-1901,PRCP,0,,,a,,mm
ASN00023062,01-01-1901,PRCP,0,,,a,,mm
ASN00023064,01-01-1901,PRCP,0,,,a,,mm
ASN00023065,01-01-1901,PRCP,10,,,a,,mm
ASN00023095,01-01-1901,PRCP,0,,,a,,mm
ASN00023300,01-01-1901,PRCP,0,,,a,,mm
ASN00023302,01-01-1901,PRCP,0,,,a,,mm
ASN00023303,01-01-1901,PRCP,0,,,a,,mm
ASN00023305,01-01-1901,PRCP,0,,,a,,mm
ASN00023766,01-01-1901,PRCP,0,,,a,,mm
ASN00023769,01-01-1901,PRCP,0,,,a,,mm
ASN00023772,01-01-1901,PRCP,5,,,a,,mm
ASN00023773,01-01-1901,PRCP,0,,,a,,mm
ASN00023777,01-01-1901,PRCP,15,,,a,,mm
ASN00023779,01-01-1901,PRCP,0,,,a,,mm
ASN00023781,01-01-1901,PRCP,0,,,a,,mm
ASN00023782,01-01-1901,PRCP,0,,,a,,mm
ASN00023793,01-01-1901,PRCP,0,,,a,,mm
ASN00023797,01-01-1901,PRCP,0,,,a,,mm
ASN00025514,01-01-1901,PRCP,0,,,a,,mm
ASN00025519,01-01-1901,PRCP,0,,,a,,mm
ASN00025522,01-01-1901,PRCP,0,,,a,,mm
ASN00026007,01-01-1901,PRCP,0,,,a,,mm
ASN00026014,01-01-1901,PRCP,0,,,a,,mm
ASN00023307,01-01-1901,PRCP,0,,,a,,mm
ASN00023308,01-01-1901,PRCP,0,,,a,,mm
ASN00023309,01-01-1901,PRCP,0,,,a,,mm
ASN00023310,01-01-1901,PRCP,0,,,a,,mm
ASN00023311,01-01-1901,PRCP,0,,,a,,mm
ASN00023312,01-01-1901,PRCP,0,,,a,,mm
ASN00023313,01-01-1901,PRCP,0,,,a,,mm
ASN00023314,01-01-1901,PRCP,0,,,a,,mm
ASN00023315,01-01-1901,PRCP,0,,,a,,mm
ASN00023316,01-01-1901,PRCP,0,,,a,,mm
ASN00023318,01-01-1901,PRCP,0,,,a,,mm
ASN00023319,01-01-1901,PRCP,0,,,a,,mm
ASN00023345,01-01-1901,PRCP,13,,,a,,mm
ASN00023346,01-01-1901,PRCP,0,,,a,,mm
ASN00023350,01-01-1901,PRCP,0,,,a,,mm
ASN00023351,01-01-1901,PRCP,0,,,a,,mm
ASN00023352,01-01-1901,PRCP,0,,,a,,mm
ASN00023829,01-01-1901,PRCP,3,,,a,,mm
ASN00029061,01-01-1901,PRCP,381,,,a,,mm
ASN00029071,01-01-1901,PRCP,165,,,a,,mm
ASN00029072,01-01-1901,PRCP,48,,,a,,mm
ASN00029073,01-01-1901,PRCP,0,,,a,,mm
ASN00029075,01-01-1901,PRCP,41,,,a,,mm
ASN00029097,01-01-1901,PRCP,15,,,a,,mm
ASN00029098,01-01-1901,PRCP,0,,,a,,mm
ASN00026016,01-01-1901,PRCP,0,,,a,,mm
ASN00026018,01-01-1901,PRCP,5,,,a,,mm
ASN00026020,01-01-1901,PRCP,0,,,a,,mm
ASN00026022,01-01-1901,PRCP,0,,,a,,mm
ASN00026023,01-01-1901,PRCP,3,,,a,,mm
ASN00026024,01-01-1901,PRCP,8,,,a,,mm
ASN00026025,01-01-1901,PRCP,0,,,a,,mm
ASN00026026,01-01-1901,TMAX,203,,,a,,tenths of °C
ASN00026026,01-01-1901,TMIN,156,,,a,,tenths of °C
ASN00026033,01-01-1901,PRCP,0,,,a,,mm
ASN00026046,01-01-1901,PRCP,0,,,a,,mm
ASN00026047,01-01-1901,PRCP,5,,,a,,mm
ASN00027004,01-01-1901,PRCP,241,,,a,,mm
ASN00027005,01-01-1901,PRCP,5,,,a,,mm
ASN00027012,01-01-1901,PRCP,0,,,a,,mm
ASN00027014,01-01-1901,PRCP,8,,,a,,mm
ASN00027015,01-01-1901,PRCP,33,,,a,,mm
ASN00027035,01-01-1901,PRCP,137,,,a,,mm
ASN00027052,01-01-1901,PRCP,0,,,a,,mm
ASN00028000,01-01-1901,PRCP,0,,,a,,mm
ASN00028002,01-01-1901,PRCP,97,,,a,,mm
ASN00028004,01-01-1901,TMAX,367,,,a,,tenths of °C
ASN00028004,01-01-1901,TMIN,240,,,a,,tenths of °C
ASN00028004,01-01-1901,PRCP,163,,,a,,mm
ASN00028006,01-01-1901,PRCP,0,,,a,,mm
ASN00028007,01-01-1901,PRCP,175,,,a,,mm
ASN00028010,01-01-1901,PRCP,805,,,a,,mm
